open,high,low,close
22883.08,22924.07,22866.36,22885.01
22885.01,22985.6,22750,22851.05
22851.06,22932.27,22841.14,22895.8
22897.12,22952.43,22840,22935.9
22935.9,23148.99,22886.45,23029.09
23027.6,23141,22854.31,22877.3
22877.73,22924.1,22785.06,22922.38
22921.34,22953.68,22833.71,22853.04
22853.04,22942.4,22765.73,22931.68
22931.68,22980,22872.59,22921.69
22921.69,22926.77,22527,22587.5
22585.47,22650,22550.57,22638.17
22636.98,22659.99,22558.23,22633.95
22632.97,22645.03,22400,22591.99
22591.99,22719.99,22486.38,22539.02
22541.68,22639.34,22501.32,22588.29
22586.19,22598.37,22427.27,22451.24
22451.28,22528.96,22449.09,22514.3
22516.13,22555,22485.98,22511.22
22511.22,22570.47,22487.1,22527.31
22527.31,22542.59,22481.7,22495.34
22495.34,22581.03,22450,22551.61
22551.61,22639.77,22551.5,22622.52
22622.52,22670,22594.53,22610.85
22610.85,22666.88,22570,22622.98
22622.41,22682.65,22586.95,22635.6
22634.26,22680.57,22612.42,22632
22632,22710.44,22627.24,22663.19
22663.19,22920.61,22656,22893.44
22893.44,22976.14,22858.59,22972.48
22972.48,23115.38,22972.48,23044.91
23044.91,23200,23040,23169.69
23170.54,23196.89,23113,23175.32
23173.9,23247.84,23127.73,23177.75
23180.1,23180.87,23093.94,23152.02
23152.02,23168.18,23065.82,23073.78
23073.34,23228.59,23066.29,23189.78
23189.77,23432.51,23188.9,23240.87
23240.87,23287,23232.35,23282.02
23282.02,23299.27,23161.22,23189.65
23189.65,23212.77,23157.49,23186.08
23185.08,23254.92,23122.05,23131.36
23131.36,23154.75,23095.17,23151.46
23151.46,23189.66,23120.48,23150.21
23149.37,23174.62,23125.47,23132.21
23132.21,23210.92,23105.47,23183.65
23183.65,23253.39,23151.95,23196.04
23195.46,23305.76,23151.04,23283.4
23283.4,23441.1,23248.7,23405.13
23403.67,23472.86,23346.68,23403.63
23403.63,23403.63,22921.25,23018.93
23018.93,23088.02,22879.42,23003.78
23005.02,23101,22982.46,23054.81
23053.25,23360,23022.5,23238.43
23238.43,23328.38,23170.01,23177.08
23177.08,23204.64,22969.89,22973.23
22971.69,23057,22957.98,22988.25
